;ANALYSIS FOR HOUSE PREDICTION MODEL;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Real Price;Predicted price;difference;Pred/Real;;;;;;;;;;;
-122.26,37.86,52.0,3774.0,744.0,1461.0,679.0,2.9405,289500.0,NEAR BAY;;;;;;;289500;261064.69;28435.31;0.901777858;;NEAR BAY RESULT;;;;;;;;;
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY;;;;;;;299200;234349.92;64850.08;0.78325508;;;;;;;;;;;
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY;;;;;;;241400;261491.75;-20091.75;1.083230116;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
-121.92,37.32,31.0,1902.0,554.0,1485.0,494.0,2.4207,165600.0,<1H OCEAN;;;;;;;165600;193661.22;-28061.22;1.169451812;;<1H OCEAN RESULT;;;;;;;;;
-121.97,37.64,32.0,1283.0,194.0,485.0,171.0,6.0574,431000.0,<1H OCEAN;;;;;;;431000;323072.84;107927.16;0.749588956;;;;;;;;;;;
-118.09,33.96,36.0,1116.0,229.0,719.0,233.0,3.425,163200.0,<1H OCEAN;;;;;;;163200;163521.38;-321.38;1.00196924;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
-121.9,37.66,18.0,7397.0,1137.0,3126.0,1115.0,6.4994,323000.0,INLAND;;;;;;;323000;296025.22;26974.78;0.916486749;;INLAND RESULT;;;;;;;;;
-121.88,37.68,23.0,2234.0,270.0,854.0,286.0,7.333,337200.0,INLAND;;;;;;;337200;322537.78;14662.22;0.956517734;;;;;;;;;;;
-120.15,39.2,14.0,1382.0,242.0,141.0,66.0,4.1016,283300.0,INLAND;;;;;;;283300;255302.02;27997.98;0.901171973;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
-124.23,41.75,11.0,3159.0,616.0,1343.0,479.0,2.4805,73200.0,NEAR OCEAN;;;;;;;73200;106716.34;-33516.34;1.457873497;;NEAR OCEAN RESULT;;;;;;;;;
-124.21,41.77,17.0,3461.0,722.0,1947.0,647.0,2.5795,68400.0,NEAR OCEAN;;;;;;;68400;85962.02;-17562.02;1.256754678;;;;;;;;;;;
-117.26,32.8,30.0,1446.0,385.0,650.0,344.0,3.744,450000.0,NEAR OCEAN;;;;;;;450000;310842.72;139157.28;0.6907616;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
-118.32,33.33,52.0,2127.0,512.0,733.0,288.0,3.3906,300000.0,ISLAND;;;;;;;300000;345379.59;-45379.59;1.1512653;;ISLAND RESULT;;;;;;;;;
-118.32,33.34,52.0,996.0,264.0,341.0,160.0,2.7361,450000.0,ISLAND;;;;;;;450000;437974.81;12025.19;0.973277356;;;;;;;;;;;
-118.48,33.43,29.0,716.0,214.0,422.0,173.0,2.6042,287500.0,ISLAND;;;;;;;287500;304070.62;-16570.62;1.057636939;;;;;;;;;;;
